List of packages in environment: "/lustre/home/mkocabas/y"

  Name                           Version         Build                         Channel                 
  hpack                          4.1.0           pyhd8ed1ab_0                  conda-forge             
  httpcore                       1.0.7           pyh29332c3_1                  conda-forge             
  httpx                          0.28.1          pyhd8ed1ab_0                  conda-forge             
  hyperframe                     6.1.0           pyhd8ed1ab_0                  conda-forge             
  icu                            73.2            h59595ed_0                    conda-forge             
  idna                           3.10            pyhd8ed1ab_1                  conda-forge             
  imageio                        2.37.0          pypi_0                        pypi                    
  imageio-ffmpeg                 0.6.0           pypi_0                        pypi                    
  importlib-metadata             8.6.1           pyha770c72_0                  conda-forge             
  importlib_resources            6.5.2           pyhd8ed1ab_0                  conda-forge             
  insightface                    0.7.3           pypi_0                        pypi                    
  ipdb                           0.13.13         pypi_0                        pypi                    
  ipykernel                      6.29.5          pyh3099207_0                  conda-forge             
  ipython                        8.32.0          pyh907856f_0                  conda-forge             
  ipywidgets                     8.1.5           pyhd8ed1ab_1                  conda-forge             
  isoduration                    20.11.0         pyhd8ed1ab_1                  conda-forge             
  jedi                           0.19.2          pyhd8ed1ab_1                  conda-forge             
  jinja2                         3.1.5           pyhd8ed1ab_0                  conda-forge             
  jpeg                           9e              h166bdaf_2                    conda-forge             
  jpeg4py                        0.1.4           pypi_0                        pypi                    
  json5                          0.10.0          pyhd8ed1ab_1                  conda-forge             
  jsonpointer                    3.0.0           py310hff52083_1               conda-forge             
  jsonschema                     4.23.0          pyhd8ed1ab_1                  conda-forge             
  jsonschema-specifications      2024.10.1       pyhd8ed1ab_1                  conda-forge             
  jsonschema-with-format-nongpl  4.23.0          hd8ed1ab_1                    conda-forge             
  jupyter                        1.1.1           pyhd8ed1ab_1                  conda-forge             
  jupyter-lsp                    2.2.5           pyhd8ed1ab_1                  conda-forge             
  jupyter_client                 8.6.3           pyhd8ed1ab_1                  conda-forge             
  jupyter_console                6.6.3           pyhd8ed1ab_1                  conda-forge             
  jupyter_core                   5.7.2           pyh31011fe_1                  conda-forge             
  jupyter_events                 0.12.0          pyh29332c3_0                  conda-forge             
  jupyter_server                 2.15.0          pyhd8ed1ab_0                  conda-forge             
  jupyter_server_terminals       0.5.3           pyhd8ed1ab_1                  conda-forge             
  jupyterlab                     4.3.5           pyhd8ed1ab_0                  conda-forge             
  jupyterlab_pygments            0.3.0           pyhd8ed1ab_2                  conda-forge             
  jupyterlab_server              2.27.3          pyhd8ed1ab_1                  conda-forge             
  jupyterlab_widgets             3.0.13          pyhd8ed1ab_1                  conda-forge             
  keyutils                       1.6.1           h166bdaf_0                    conda-forge             
  krb5                           1.21.3          h659f571_0                    conda-forge             
  lame                           3.100           h166bdaf_1003                 conda-forge             
  lcms2                          2.15            hfd0df8a_0                    conda-forge             
  ld_impl_linux-64               2.43            h712a8e2_2                    conda-forge             
  lerc                           4.0.0           h27087fc_0                    conda-forge             
  libblas                        3.9.0           16_linux64_mkl                conda-forge             
  libcblas                       3.9.0           16_linux64_mkl                conda-forge             
  libcublas                      12.1.0.26       0                             nvidia/label/cuda-12.1.0
  libcublas-dev                  12.1.0.26       0                             nvidia/label/cuda-12.1.0
  libcublas-static               12.1.0.26       0                             nvidia/label/cuda-12.1.0
  libcufft                       11.0.2.4        0                             nvidia/label/cuda-12.1.0
  libcufft-dev                   11.0.2.4        0                             nvidia/label/cuda-12.1.0
  libcufft-static                11.0.2.4        0                             nvidia/label/cuda-12.1.0
  libcufile                      1.6.0.25        0                             nvidia/label/cuda-12.1.0
  libcufile-dev                  1.6.0.25        0                             nvidia/label/cuda-12.1.0
  libcufile-static               1.6.0.25        0                             nvidia/label/cuda-12.1.0
  libcurand                      10.3.2.56       0                             nvidia/label/cuda-12.1.0
  libcurand-dev                  10.3.2.56       0                             nvidia/label/cuda-12.1.0
  libcurand-static               10.3.2.56       0                             nvidia/label/cuda-12.1.0
  libcusolver                    11.4.4.55       0                             nvidia/label/cuda-12.1.0
  libcusolver-dev                11.4.4.55       0                             nvidia/label/cuda-12.1.0
  libcusolver-static             11.4.4.55       0                             nvidia/label/cuda-12.1.0
  libcusparse                    12.0.2.55       0                             nvidia/label/cuda-12.1.0
  libcusparse-dev                12.0.2.55       0                             nvidia/label/cuda-12.1.0
  libcusparse-static             12.0.2.55       0                             nvidia/label/cuda-12.1.0
  libdeflate                     1.17            h0b41bf4_0                    conda-forge             
  libedit                        3.1.20250104    pl5321h7949ede_0              conda-forge             
  libffi                         3.4.6           h2dba641_0                    conda-forge             
  libgcc                         14.2.0          h77fa898_1                    conda-forge             
  libgcc-ng                      14.2.0          h69a702a_1                    conda-forge             
  libgfortran                    14.2.0          h69a702a_2                    conda-forge             
  libgfortran-ng                 14.2.0          h69a702a_2                    conda-forge             
  libgfortran5                   14.2.0          hf1ad2bd_2                    conda-forge             
  libgomp                        14.2.0          h77fa898_1                    conda-forge             
  libhwloc                       2.11.2          default_he43201b_1000         conda-forge             
  libiconv                       1.18            h4ce23a2_1                    conda-forge             
  libjpeg-turbo                  2.0.0           h9bf148f_0                    pytorch                 
  liblapack                      3.9.0           16_linux64_mkl                conda-forge             
  liblapacke                     3.9.0           16_linux64_mkl                conda-forge             
  liblzma                        5.6.4           hb9d3cd8_0                    conda-forge             
  liblzma-devel                  5.6.4           hb9d3cd8_0                    conda-forge             
  libnpp                         12.0.2.50       0                             nvidia/label/cuda-12.1.0
  libnpp-dev                     12.0.2.50       0                             nvidia/label/cuda-12.1.0
  libnpp-static                  12.0.2.50       0                             nvidia/label/cuda-12.1.0
  libnsl                         2.0.1           hd590300_0                    conda-forge             
  libnvjitlink                   12.1.105        0                             nvidia                  
  libnvjitlink-dev               12.1.55         0                             nvidia/label/cuda-12.1.0
  libnvjpeg                      12.1.0.39       0                             nvidia/label/cuda-12.1.0
  libnvjpeg-dev                  12.1.0.39       0                             nvidia/label/cuda-12.1.0
  libnvjpeg-static               12.1.0.39       0                             nvidia/label/cuda-12.1.0
  libnvvm-samples                12.1.55         0                             nvidia/label/cuda-12.1.0
  libpng                         1.6.43          h2797004_0                    conda-forge             
  libsodium                      1.0.20          h4ab18f5_0                    conda-forge             
  libsqlite                      3.46.0          hde9e2c9_0                    conda-forge             
  libstdcxx                      14.2.0          hc0a3c3a_1                    conda-forge             
  libstdcxx-ng                   14.2.0          h4852527_1                    conda-forge             
  libtiff                        4.5.0           h6adf6a1_2                    conda-forge             
  libuuid                        2.38.1          h0b41bf4_0                    conda-forge             
  libwebp-base                   1.5.0           h851e524_0                    conda-forge             
  libxcb                         1.13            h7f98852_1004                 conda-forge             
  libxcrypt                      4.4.36          hd590300_1                    conda-forge             
  libxml2                        2.12.7          hc051c1a_1                    conda-forge             
  libzlib                        1.2.13          h4ab18f5_6                    conda-forge             
  liger_kernel                   0.5.2           pypi_0                        pypi                    
  lightning                      2.5.1.post0     pypi_0                        pypi                    
  llvm-openmp                    15.0.7          h0cdce71_0                    conda-forge             
  loguru                         0.7.3           pypi_0                        pypi                    
  ltx-video                      0.1.2           pypi_0                        pypi                    
  markupsafe                     3.0.2           py310h89163eb_1               conda-forge             
  matplotlib-inline              0.1.7           pyhd8ed1ab_1                  conda-forge             
  mistune                        3.1.1           pyhd8ed1ab_0                  conda-forge             
  mkl                            2022.1.0        h84fe81f_915                  conda-forge             
  mkl-devel                      2022.1.0        ha770c72_916                  conda-forge             
  mkl-include                    2022.1.0        h84fe81f_915                  conda-forge             
  mmdet                          3.3.0           pypi_0                        pypi                    
  mmengine                       0.10.7          pypi_0                        pypi                    
  mmpose                         1.3.2           pypi_0                        pypi                    
  mpc                            1.3.1           h24ddda3_1                    conda-forge             
  mpfr                           4.2.1           h90cbb55_3                    conda-forge             
  mpmath                         1.3.0           pyhd8ed1ab_1                  conda-forge             
  nbclient                       0.10.2          pyhd8ed1ab_0                  conda-forge             
  nbconvert-core                 7.16.6          pyh29332c3_0                  conda-forge             
  nbformat                       5.10.4          pyhd8ed1ab_1                  conda-forge             
  ncurses                        6.5             h2d0b736_3                    conda-forge             
  nest-asyncio                   1.6.0           pyhd8ed1ab_1                  conda-forge             
  nettle                         3.6             he412f7d_0                    conda-forge             
  networkx                       3.4.2           pyh267e887_2                  conda-forge             
  ninja                          1.11.1.3        pypi_0                        pypi                    
  notebook                       7.3.2           pyhd8ed1ab_0                  conda-forge             
  notebook-shim                  0.2.4           pyhd8ed1ab_1                  conda-forge             
  nsight-compute                 2023.1.0.15     0                             nvidia/label/cuda-12.1.0
  numpy                          2.2.3           py310hefbff90_0               conda-forge             
  nvdiffrast                     0.3.3           pypi_0                        pypi                    
  omegaconf                      2.3.0           pypi_0                        pypi                    
  onnxruntime                    1.21.0          pypi_0                        pypi                    
  onnxruntime-gpu                1.21.1          pypi_0                        pypi                    
  open3d                         0.19.0          pypi_0                        pypi                    
  openai                         1.70.0          pypi_0                        pypi                    
  opencv-python                  4.9.0.80        pypi_0                        pypi                    
  openh264                       2.1.1           h780b84a_0                    conda-forge             
  openjpeg                       2.5.0           hfec8fc6_2                    conda-forge             
  openssl                        3.4.1           h7b32b05_0                    conda-forge             
  overrides                      7.7.0           pyhd8ed1ab_1                  conda-forge             
  packaging                      24.2            pyhd8ed1ab_2                  conda-forge             
  pandarallel                    1.6.5           pypi_0                        pypi                    
  pandocfilters                  1.5.0           pyhd8ed1ab_0                  conda-forge             
  parso                          0.8.4           pyhd8ed1ab_1                  conda-forge             
  pexpect                        4.9.0           pyhd8ed1ab_1                  conda-forge             
  pickleshare                    0.7.5           pyhd8ed1ab_1004               conda-forge             
  pillow                         9.4.0           py310h023d228_1               conda-forge             
  pip                            25.0.1          pyh8b19718_0                  conda-forge             
  pkgutil-resolve-name           1.3.10          pyhd8ed1ab_2                  conda-forge             
  platformdirs                   4.3.6           pyhd8ed1ab_1                  conda-forge             
  plyfile                        1.1.2           pypi_0                        pypi                    
  prometheus_client              0.21.1          pyhd8ed1ab_0                  conda-forge             
  prompt-toolkit                 3.0.50          pyha770c72_0                  conda-forge             
  prompt_toolkit                 3.0.50          hd8ed1ab_0                    conda-forge             
  psutil                         6.1.1           py310ha75aee5_0               conda-forge             
  pthread-stubs                  0.4             hb9d3cd8_1002                 conda-forge             
  ptyprocess                     0.7.0           pyhd8ed1ab_1                  conda-forge             
  pure_eval                      0.2.3           pyhd8ed1ab_1                  conda-forge             
  pyarrow                        19.0.1          pypi_0                        pypi                    
  pycocotools                    2.0.8           pypi_0                        pypi                    
  pycparser                      2.22            pyh29332c3_1                  conda-forge             
  pygments                       2.19.1          pyhd8ed1ab_0                  conda-forge             
  pyrender                       0.1.45          pypi_0                        pypi                    
  pysocks                        1.7.1           pyha55dd90_7                  conda-forge             
  python                         3.10.14         hd12c33a_0_cpython            conda-forge             
  python-dateutil                2.9.0.post0     pyhff2d567_1                  conda-forge             
  python-fastjsonschema          2.21.1          pyhd8ed1ab_0                  conda-forge             
  python-json-logger             2.0.7           pyhd8ed1ab_0                  conda-forge             
  python_abi                     3.10            5_cp310                       conda-forge             
  pytorch                        2.4.1           py3.10_cuda12.1_cudnn9.1.0_0  pytorch                 
  pytorch-cuda                   12.1            ha16c6d3_6                    pytorch                 
  pytorch-mutex                  1.0             cuda                          pytorch                 
  pytorch3d                      0.7.8           pypi_0                        pypi                    
  pytz                           2025.1          pyhd8ed1ab_0                  conda-forge             
  pyyaml                         6.0.2           py310h89163eb_2               conda-forge             
  pyzmq                          26.2.1          py310h71f11fc_0               conda-forge             
  readline                       8.2             h8228510_1                    conda-forge             
  referencing                    0.36.2          pyh29332c3_0                  conda-forge             
  requests                       2.32.3          pyhd8ed1ab_1                  conda-forge             
  rfc3339-validator              0.1.4           pyhd8ed1ab_1                  conda-forge             
  rfc3986-validator              0.1.1           pyh9f0ad1d_0                  conda-forge             
  rpds-py                        0.22.3          py310h505e2c1_0               conda-forge             
  scikit-image                   0.25.2          pypi_0                        pypi                    
  send2trash                     1.8.3           pyh0d859eb_1                  conda-forge             
  setuptools                     75.8.0          pyhff2d567_0                  conda-forge             
  six                            1.17.0          pyhd8ed1ab_0                  conda-forge             
  smplx                          0.1.28          pypi_0                        pypi                    
  sniffio                        1.3.1           pyhd8ed1ab_1                  conda-forge             
  soupsieve                      2.5             pyhd8ed1ab_1                  conda-forge             
  stack_data                     0.6.3           pyhd8ed1ab_1                  conda-forge             
  sympy                          1.13.3          pypyh2585a3b_103              conda-forge             
  tbb                            2021.13.0       hceb3a55_1                    conda-forge             
  tensorboard                    2.19.0          pypi_0                        pypi                    
  tensornvme                     0.1.0           pypi_0                        pypi                    
  terminado                      0.18.1          pyh0d859eb_0                  conda-forge             
  timm                           1.0.15          pypi_0                        pypi                    
  tinycss2                       1.4.0           pyhd8ed1ab_0                  conda-forge             
  tk                             8.6.13          noxft_h4845f30_101            conda-forge             
  tomli                          2.2.1           pyhd8ed1ab_1                  conda-forge             
  torch                          2.5.1           pypi_0                        pypi                    
  torchaudio                     2.5.1+cu121     pypi_0                        pypi                    
  torchtriton                    3.0.0           py310                         pytorch                 
  torchvision                    0.19.1          py310_cu121                   pytorch                 
  tornado                        6.4.2           py310ha75aee5_0               conda-forge             
  traitlets                      5.14.3          pyhd8ed1ab_1                  conda-forge             
  transformers                   4.53.1          pypi_0                        pypi                    
  trimesh                        4.6.4           pypi_0                        pypi                    
  types-python-dateutil          2.9.0.20241206  pyhd8ed1ab_0                  conda-forge             
  typing-extensions              4.12.2          hd8ed1ab_1                    conda-forge             
  typing_extensions              4.12.2          pyha770c72_1                  conda-forge             
  typing_utils                   0.1.0           pyhd8ed1ab_1                  conda-forge             
  tzdata                         2025a           h78e105d_0                    conda-forge             
  uri-template                   1.3.0           pyhd8ed1ab_1                  conda-forge             
  urllib3                        2.3.0           pyhd8ed1ab_0                  conda-forge             
  wan                            2.1.0           pypi_0                        pypi                    
  wandb                          0.19.9          pypi_0                        pypi                    
  wcwidth                        0.2.13          pyhd8ed1ab_1                  conda-forge             
  webcolors                      24.11.1         pyhd8ed1ab_0                  conda-forge             
  webencodings                   0.5.1           pyhd8ed1ab_3                  conda-forge             
  websocket-client               1.8.0           pyhd8ed1ab_1                  conda-forge             
  wheel                          0.45.1          pyhd8ed1ab_1                  conda-forge             
  widgetsnbextension             4.0.13          pyhd8ed1ab_1                  conda-forge             
  xfuser                         0.4.3.post3     pypi_0                        pypi                    
  xorg-libxau                    1.0.12          hb9d3cd8_0                    conda-forge             
  xorg-libxdmcp                  1.1.5           hb9d3cd8_0                    conda-forge             
  xz                             5.6.4           hbcc6ac9_0                    conda-forge             
  xz-gpl-tools                   5.6.4           hbcc6ac9_0                    conda-forge             
  xz-tools                       5.6.4           hb9d3cd8_0                    conda-forge             
  yacs                           0.1.8           pypi_0                        pypi                    
  yaml                           0.2.5           h7f98852_2                    conda-forge             
  zeromq                         4.3.5           h3b0a872_7                    conda-forge             
  zipp                           3.21.0          pyhd8ed1ab_1                  conda-forge             
  zlib                           1.2.13          h4ab18f5_6                    conda-forge             
  zstandard                      0.23.0          py310ha39cb0e_1               conda-forge             
  zstd                           1.5.6           ha6fb4c9_0                    conda-forge             
